entity_id_a,source_a,entity_id_b,source_b,relation,confidence,method,validated,merge,notes
OCC_535421ae1e2c,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.7311,embed:0.73,auto,,integration engineer <> Software developers and programmers
OCC_0ee16ac6947b,ESCO,OCC_67a5290e6732,NOC,skos:relatedMatch,0.644,embed:0.64,auto,,search engine optimisation expert <> Web developers and programmers
OCC_0ee16ac6947b,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6415,embed:0.64,auto,,search engine optimisation expert <> Business systems specialists
OCC_0ee16ac6947b,ESCO,OCC_e053f9b6d813,NOC,skos:relatedMatch,0.641,embed:0.64,auto,,search engine optimisation expert <> Data scientists
OCC_0ee16ac6947b,ESCO,OCC_f2a71e8a4b5a,NOC,skos:relatedMatch,0.6255,embed:0.63,auto,,search engine optimisation expert <> Cybersecurity specialists
OCC_0ee16ac6947b,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6253,embed:0.63,auto,,search engine optimisation expert <> Computer systems developers and programmers
OCC_1fbb1e6392b6,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7821,embed:0.78,auto,,ICT test analyst <> Information systems testing technicians
OCC_1fbb1e6392b6,ESCO,OCC_4060d96748a0,NOC,skos:closeMatch,0.7081,embed:0.71,auto,,ICT test analyst <> Information systems specialists
OCC_1fbb1e6392b6,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.701,embed:0.70,auto,,ICT test analyst <> Cybersecurity specialists
OCC_1fbb1e6392b6,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6892,embed:0.69,auto,,ICT test analyst <> Business systems specialists
OCC_1fbb1e6392b6,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6806,embed:0.68,auto,,ICT test analyst <> Computer engineers (except software engineers and designers)
OCC_46b37f0135cb,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.85,alt_match+embed:0.74,auto,,digital forensics expert <> Cybersecurity specialists
OCC_46b37f0135cb,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6837,embed:0.68,auto,,digital forensics expert <> Information systems specialists
OCC_46b37f0135cb,ESCO,OCC_e053f9b6d813,NOC,skos:relatedMatch,0.6836,embed:0.68,auto,,digital forensics expert <> Data scientists
OCC_46b37f0135cb,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6503,embed:0.65,auto,,digital forensics expert <> Business systems specialists
OCC_46b37f0135cb,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6398,embed:0.64,auto,,digital forensics expert <> Computer engineers (except software engineers and designers)
OCC_8b508c20ce1d,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.8216,embed:0.82,auto,,cyber incident responder <> Cybersecurity specialists
OCC_8b508c20ce1d,ESCO,OCC_4060d96748a0,NOC,skos:closeMatch,0.7577,embed:0.76,auto,,cyber incident responder <> Information systems specialists
OCC_8b508c20ce1d,ESCO,OCC_e9792b3b8a2b,NOC,skos:closeMatch,0.7181,embed:0.72,auto,,cyber incident responder <> Business systems specialists
OCC_8b508c20ce1d,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.7155,embed:0.72,auto,,cyber incident responder <> Computer and information systems managers
OCC_8b508c20ce1d,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7129,embed:0.71,auto,,cyber incident responder <> Computer engineers (except software engineers and designers)
OCC_6dc1b627155d,ESCO,OCC_11ba48109f61,NOC,skos:relatedMatch,0.6451,embed:0.65,auto,,sound operator <> Software developers and programmers
OCC_6dc1b627155d,ESCO,OCC_0955575601a0,NOC,skos:relatedMatch,0.6295,embed:0.63,auto,,sound operator <> User support technicians
OCC_6dc1b627155d,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6252,embed:0.63,auto,,sound operator <> Computer engineers (except software engineers and designers)
OCC_6dc1b627155d,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6113,embed:0.61,auto,,sound operator <> Computer systems developers and programmers
OCC_6dc1b627155d,ESCO,OCC_0553eba7a386,NOC,skos:relatedMatch,0.6105,embed:0.61,auto,,sound operator <> Information systems testing technicians
OCC_cbee4548194c,ESCO,OCC_e9792b3b8a2b,NOC,skos:closeMatch,0.85,alt_match+embed:0.75,auto,,ICT disaster recovery analyst <> Business systems specialists
OCC_cbee4548194c,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.7501,embed:0.75,auto,,ICT disaster recovery analyst <> Cybersecurity specialists
OCC_cbee4548194c,ESCO,OCC_4060d96748a0,NOC,skos:closeMatch,0.7249,embed:0.72,auto,,ICT disaster recovery analyst <> Information systems specialists
OCC_cbee4548194c,ESCO,OCC_3d3f23f196d1,NOC,skos:relatedMatch,0.6954,embed:0.70,auto,,ICT disaster recovery analyst <> Database analysts and data administrators
OCC_cbee4548194c,ESCO,OCC_0553eba7a386,NOC,skos:relatedMatch,0.6804,embed:0.68,auto,,ICT disaster recovery analyst <> Information systems testing technicians
OCC_89f4b0de8aeb,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7967,embed:0.80,auto,,embedded system designer <> Software engineers and designers
OCC_89f4b0de8aeb,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.7804,embed:0.78,auto,,embedded system designer <> Computer systems developers and programmers
OCC_89f4b0de8aeb,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.7634,embed:0.76,auto,,embedded system designer <> Software developers and programmers
OCC_89f4b0de8aeb,ESCO,OCC_67a5290e6732,NOC,skos:closeMatch,0.7395,embed:0.74,auto,,embedded system designer <> Web developers and programmers
OCC_89f4b0de8aeb,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7337,embed:0.73,auto,,embedded system designer <> Computer engineers (except software engineers and designers)
OCC_3e502e92822a,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.85,alt_match+embed:0.81,auto,,software tester <> Information systems testing technicians
OCC_3e502e92822a,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.7957,embed:0.80,auto,,software tester <> Software developers and programmers
OCC_3e502e92822a,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7734,embed:0.77,auto,,software tester <> Software engineers and designers
OCC_3e502e92822a,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.7643,embed:0.76,auto,,software tester <> Computer systems developers and programmers
OCC_3e502e92822a,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6937,embed:0.69,auto,,software tester <> Computer engineers (except software engineers and designers)
OCC_127c8b092532,ESCO,OCC_0955575601a0,NOC,skos:closeMatch,0.7655,embed:0.77,auto,,ICT help desk manager <> User support technicians
OCC_127c8b092532,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.7372,embed:0.74,auto,,ICT help desk manager <> Computer and information systems managers
OCC_127c8b092532,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6783,embed:0.68,auto,,ICT help desk manager <> Information systems specialists
OCC_127c8b092532,ESCO,OCC_0553eba7a386,NOC,skos:relatedMatch,0.6667,embed:0.67,auto,,ICT help desk manager <> Information systems testing technicians
OCC_127c8b092532,ESCO,OCC_f2a71e8a4b5a,NOC,skos:relatedMatch,0.6544,embed:0.65,auto,,ICT help desk manager <> Cybersecurity specialists
OCC_c7ddb7ad3c99,ESCO,OCC_3d3f23f196d1,NOC,skos:closeMatch,0.7458,embed:0.75,auto,,data warehouse designer <> Database analysts and data administrators
OCC_c7ddb7ad3c99,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7097,embed:0.71,auto,,data warehouse designer <> Software engineers and designers
OCC_c7ddb7ad3c99,ESCO,OCC_9111ae8af624,NOC,skos:relatedMatch,0.6928,embed:0.69,auto,,data warehouse designer <> Web designers
OCC_c7ddb7ad3c99,ESCO,OCC_67a5290e6732,NOC,skos:relatedMatch,0.6922,embed:0.69,auto,,data warehouse designer <> Web developers and programmers
OCC_c7ddb7ad3c99,ESCO,OCC_77dfa03404a8,NOC,skos:relatedMatch,0.6799,embed:0.68,auto,,data warehouse designer <> Computer and information systems managers
OCC_991dd4068ca0,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7766,embed:0.78,auto,,computer vision engineer <> Computer engineers (except software engineers and designers)
OCC_991dd4068ca0,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.7285,embed:0.73,auto,,computer vision engineer <> Software developers and programmers
OCC_991dd4068ca0,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.7181,embed:0.72,auto,,computer vision engineer <> Computer systems developers and programmers
OCC_991dd4068ca0,ESCO,OCC_e053f9b6d813,NOC,skos:closeMatch,0.7177,embed:0.72,auto,,computer vision engineer <> Data scientists
OCC_991dd4068ca0,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7064,embed:0.71,auto,,computer vision engineer <> Software engineers and designers
OCC_b0446201413b,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7788,embed:0.78,auto,,embedded systems security engineer <> Software engineers and designers
OCC_b0446201413b,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7569,embed:0.76,auto,,embedded systems security engineer <> Computer engineers (except software engineers and designers)
OCC_b0446201413b,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.85,alt_match+embed:0.75,auto,,embedded systems security engineer <> Cybersecurity specialists
OCC_b0446201413b,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.7399,embed:0.74,auto,,embedded systems security engineer <> Computer systems developers and programmers
OCC_b0446201413b,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7327,embed:0.73,auto,,embedded systems security engineer <> Information systems testing technicians
OCC_7d1a8b2ea390,ESCO,OCC_e053f9b6d813,NOC,skos:closeMatch,0.85,alt_match+embed:0.81,auto,,data engineer <> Data scientists
OCC_7d1a8b2ea390,ESCO,OCC_3d3f23f196d1,NOC,skos:closeMatch,0.7466,embed:0.75,auto,,data engineer <> Database analysts and data administrators
OCC_7d1a8b2ea390,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7229,embed:0.72,auto,,data engineer <> Computer engineers (except software engineers and designers)
OCC_7d1a8b2ea390,ESCO,OCC_7892d9c0b620,NOC,skos:relatedMatch,0.6967,embed:0.70,auto,,data engineer <> Software engineers and designers
OCC_7d1a8b2ea390,ESCO,OCC_67a5290e6732,NOC,skos:relatedMatch,0.6856,embed:0.69,auto,,data engineer <> Web developers and programmers
OCC_43a86b759733,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6937,embed:0.69,auto,,green ICT consultant <> Business systems specialists
OCC_43a86b759733,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6841,embed:0.68,auto,,green ICT consultant <> Information systems specialists
OCC_43a86b759733,ESCO,OCC_f2a71e8a4b5a,NOC,skos:relatedMatch,0.6377,embed:0.64,auto,,green ICT consultant <> Cybersecurity specialists
OCC_43a86b759733,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6228,embed:0.62,auto,,green ICT consultant <> Computer engineers (except software engineers and designers)
OCC_43a86b759733,ESCO,OCC_9111ae8af624,NOC,skos:relatedMatch,0.618,embed:0.62,auto,,green ICT consultant <> Web designers
OCC_fa827183f8af,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6407,embed:0.64,auto,,sound mastering engineer <> Computer engineers (except software engineers and designers)
OCC_fa827183f8af,ESCO,OCC_11ba48109f61,NOC,skos:relatedMatch,0.6306,embed:0.63,auto,,sound mastering engineer <> Software developers and programmers
OCC_fa827183f8af,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6207,embed:0.62,auto,,sound mastering engineer <> Computer systems developers and programmers
OCC_fa827183f8af,ESCO,OCC_7892d9c0b620,NOC,skos:relatedMatch,0.6145,embed:0.61,auto,,sound mastering engineer <> Software engineers and designers
OCC_fa827183f8af,ESCO,OCC_e053f9b6d813,NOC,skos:relatedMatch,0.6115,embed:0.61,auto,,sound mastering engineer <> Data scientists
OCC_a4f72755e1ad,ESCO,OCC_67a5290e6732,NOC,skos:relatedMatch,0.6759,embed:0.68,auto,,blockchain developer <> Web developers and programmers
OCC_a4f72755e1ad,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6614,embed:0.66,auto,,blockchain developer <> Computer systems developers and programmers
OCC_a4f72755e1ad,ESCO,OCC_11ba48109f61,NOC,skos:relatedMatch,0.6593,embed:0.66,auto,,blockchain developer <> Software developers and programmers
OCC_a4f72755e1ad,ESCO,OCC_7892d9c0b620,NOC,skos:relatedMatch,0.657,embed:0.66,auto,,blockchain developer <> Software engineers and designers
OCC_a4f72755e1ad,ESCO,OCC_3d3f23f196d1,NOC,skos:relatedMatch,0.6197,embed:0.62,auto,,blockchain developer <> Database analysts and data administrators
OCC_7bde92a813dd,ESCO,OCC_e053f9b6d813,NOC,skos:exactMatch,0.95,pref_match+embed:0.86,auto,label,data scientist <> Data scientists
OCC_7bde92a813dd,ESCO,OCC_3d3f23f196d1,NOC,skos:relatedMatch,0.6914,embed:0.69,auto,,data scientist <> Database analysts and data administrators
OCC_7bde92a813dd,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6567,embed:0.66,auto,,data scientist <> Computer systems developers and programmers
OCC_7bde92a813dd,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6496,embed:0.65,auto,,data scientist <> Business systems specialists
OCC_7bde92a813dd,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6478,embed:0.65,auto,,data scientist <> Information systems specialists
OCC_3ea9dcd66347,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.7851,embed:0.79,auto,,chief ICT security officer <> Cybersecurity specialists
OCC_3ea9dcd66347,ESCO,OCC_4060d96748a0,NOC,skos:closeMatch,0.7404,embed:0.74,auto,,chief ICT security officer <> Information systems specialists
OCC_3ea9dcd66347,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.7373,embed:0.74,auto,,chief ICT security officer <> Computer and information systems managers
OCC_3ea9dcd66347,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7127,embed:0.71,auto,,chief ICT security officer <> Information systems testing technicians
OCC_3ea9dcd66347,ESCO,OCC_e9792b3b8a2b,NOC,skos:closeMatch,0.7003,embed:0.70,auto,,chief ICT security officer <> Business systems specialists
OCC_01372aeb8cb5,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.708,embed:0.71,auto,,enterprise architect <> Software engineers and designers
OCC_01372aeb8cb5,ESCO,OCC_67a5290e6732,NOC,skos:closeMatch,0.7042,embed:0.70,auto,,enterprise architect <> Web developers and programmers
OCC_01372aeb8cb5,ESCO,OCC_e9792b3b8a2b,NOC,skos:closeMatch,0.7031,embed:0.70,auto,,enterprise architect <> Business systems specialists
OCC_01372aeb8cb5,ESCO,OCC_9111ae8af624,NOC,skos:relatedMatch,0.6871,embed:0.69,auto,,enterprise architect <> Web designers
OCC_01372aeb8cb5,ESCO,OCC_77dfa03404a8,NOC,skos:relatedMatch,0.6766,embed:0.68,auto,,enterprise architect <> Computer and information systems managers
OCC_60d10ff7dab8,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.85,alt_match+embed:0.80,auto,,mobile application developer <> Software developers and programmers
OCC_60d10ff7dab8,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.7513,embed:0.75,auto,,mobile application developer <> Computer systems developers and programmers
OCC_60d10ff7dab8,ESCO,OCC_67a5290e6732,NOC,skos:closeMatch,0.7441,embed:0.74,auto,,mobile application developer <> Web developers and programmers
OCC_60d10ff7dab8,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7307,embed:0.73,auto,,mobile application developer <> Software engineers and designers
OCC_60d10ff7dab8,ESCO,OCC_9111ae8af624,NOC,skos:relatedMatch,0.6631,embed:0.66,auto,,mobile application developer <> Web designers
OCC_96b5d34f1d58,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.85,alt_match+embed:0.71,auto,,cloud architect <> Software engineers and designers
OCC_96b5d34f1d58,ESCO,OCC_77dfa03404a8,NOC,skos:relatedMatch,0.6592,embed:0.66,auto,,cloud architect <> Computer and information systems managers
OCC_96b5d34f1d58,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6532,embed:0.65,auto,,cloud architect <> Computer engineers (except software engineers and designers)
OCC_96b5d34f1d58,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6481,embed:0.65,auto,,cloud architect <> Information systems specialists
OCC_96b5d34f1d58,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6439,embed:0.64,auto,,cloud architect <> Business systems specialists
OCC_234bb9d3e7c0,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.85,alt_match+embed:0.70,auto,,digital games tester <> Information systems testing technicians
OCC_234bb9d3e7c0,ESCO,OCC_11ba48109f61,NOC,skos:relatedMatch,0.6966,embed:0.70,auto,,digital games tester <> Software developers and programmers
OCC_234bb9d3e7c0,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.627,embed:0.63,auto,,digital games tester <> Computer systems developers and programmers
OCC_234bb9d3e7c0,ESCO,OCC_67a5290e6732,NOC,skos:relatedMatch,0.6225,embed:0.62,auto,,digital games tester <> Web developers and programmers
OCC_234bb9d3e7c0,ESCO,OCC_9111ae8af624,NOC,skos:relatedMatch,0.6051,embed:0.61,auto,,digital games tester <> Web designers
OCC_ff4e73f258e8,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.85,alt_match+embed:0.76,auto,,cloud engineer <> Software engineers and designers
OCC_ff4e73f258e8,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.749,embed:0.75,auto,,cloud engineer <> Computer engineers (except software engineers and designers)
OCC_ff4e73f258e8,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.7072,embed:0.71,auto,,cloud engineer <> Computer and information systems managers
OCC_ff4e73f258e8,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.85,alt_match+embed:0.70,auto,,cloud engineer <> Software developers and programmers
OCC_ff4e73f258e8,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6755,embed:0.68,auto,,cloud engineer <> Computer systems developers and programmers
OCC_80660e3c36ff,ESCO,OCC_e053f9b6d813,NOC,skos:closeMatch,0.85,alt_match+embed:0.79,auto,,artificial intelligence engineer <> Data scientists
OCC_80660e3c36ff,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7756,embed:0.78,auto,,artificial intelligence engineer <> Computer engineers (except software engineers and designers)
OCC_80660e3c36ff,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7613,embed:0.76,auto,,artificial intelligence engineer <> Software engineers and designers
OCC_80660e3c36ff,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.7475,embed:0.75,auto,,artificial intelligence engineer <> Software developers and programmers
OCC_80660e3c36ff,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.7318,embed:0.73,auto,,artificial intelligence engineer <> Computer systems developers and programmers
OCC_44244775ffc6,ESCO,OCC_11ba48109f61,NOC,skos:relatedMatch,0.6886,embed:0.69,auto,,sound editor <> Software developers and programmers
OCC_44244775ffc6,ESCO,OCC_9111ae8af624,NOC,skos:relatedMatch,0.6248,embed:0.62,auto,,sound editor <> Web designers
OCC_44244775ffc6,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6218,embed:0.62,auto,,sound editor <> Computer systems developers and programmers
OCC_44244775ffc6,ESCO,OCC_7892d9c0b620,NOC,skos:relatedMatch,0.6087,embed:0.61,auto,,sound editor <> Software engineers and designers
OCC_44244775ffc6,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6053,embed:0.61,auto,,sound editor <> Computer engineers (except software engineers and designers)
OCC_b12363d00856,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.729,embed:0.73,auto,,ICT change and configuration manager <> Computer and information systems managers
OCC_b12363d00856,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6746,embed:0.67,auto,,ICT change and configuration manager <> Information systems specialists
OCC_b12363d00856,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6682,embed:0.67,auto,,ICT change and configuration manager <> Computer systems developers and programmers
OCC_b12363d00856,ESCO,OCC_0553eba7a386,NOC,skos:relatedMatch,0.6672,embed:0.67,auto,,ICT change and configuration manager <> Information systems testing technicians
OCC_b12363d00856,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6638,embed:0.66,auto,,ICT change and configuration manager <> Computer engineers (except software engineers and designers)
OCC_cdb44ab40521,ESCO,OCC_794a07006307,NOC,skos:closeMatch,0.7293,embed:0.73,auto,,telecommunications manager <> Computer network and web technicians
OCC_cdb44ab40521,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.7209,embed:0.72,auto,,telecommunications manager <> Computer and information systems managers
OCC_cdb44ab40521,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.699,embed:0.70,auto,,telecommunications manager <> Computer engineers (except software engineers and designers)
OCC_cdb44ab40521,ESCO,OCC_0955575601a0,NOC,skos:relatedMatch,0.6823,embed:0.68,auto,,telecommunications manager <> User support technicians
OCC_cdb44ab40521,ESCO,OCC_0553eba7a386,NOC,skos:relatedMatch,0.6689,embed:0.67,auto,,telecommunications manager <> Information systems testing technicians
OCC_69eaea4542b3,ESCO,OCC_3d3f23f196d1,NOC,skos:closeMatch,0.7739,embed:0.77,auto,,database integrator <> Database analysts and data administrators
OCC_69eaea4542b3,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6916,embed:0.69,auto,,database integrator <> Computer systems developers and programmers
OCC_69eaea4542b3,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6864,embed:0.69,auto,,database integrator <> Business systems specialists
OCC_69eaea4542b3,ESCO,OCC_e053f9b6d813,NOC,skos:relatedMatch,0.685,embed:0.69,auto,,database integrator <> Data scientists
OCC_69eaea4542b3,ESCO,OCC_67a5290e6732,NOC,skos:relatedMatch,0.6832,embed:0.68,auto,,database integrator <> Web developers and programmers
OCC_14d19ed15436,ESCO,OCC_794a07006307,NOC,skos:closeMatch,0.8091,embed:0.81,auto,,ICT technician <> Computer network and web technicians
OCC_14d19ed15436,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7882,embed:0.79,auto,,ICT technician <> Computer engineers (except software engineers and designers)
OCC_14d19ed15436,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.7625,embed:0.76,auto,,ICT technician <> Cybersecurity specialists
OCC_14d19ed15436,ESCO,OCC_0955575601a0,NOC,skos:closeMatch,0.7601,embed:0.76,auto,,ICT technician <> User support technicians
OCC_14d19ed15436,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7595,embed:0.76,auto,,ICT technician <> Information systems testing technicians
OCC_e1b1773585de,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.7011,embed:0.70,auto,,ICT capacity planner <> Computer and information systems managers
OCC_e1b1773585de,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6741,embed:0.67,auto,,ICT capacity planner <> Information systems specialists
OCC_e1b1773585de,ESCO,OCC_794a07006307,NOC,skos:relatedMatch,0.6683,embed:0.67,auto,,ICT capacity planner <> Computer network and web technicians
OCC_e1b1773585de,ESCO,OCC_e9792b3b8a2b,NOC,skos:relatedMatch,0.6654,embed:0.67,auto,,ICT capacity planner <> Business systems specialists
OCC_e1b1773585de,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6634,embed:0.66,auto,,ICT capacity planner <> Computer engineers (except software engineers and designers)
OCC_e1899e09057e,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7163,embed:0.72,auto,,ICT application configurator <> Information systems testing technicians
OCC_e1899e09057e,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.7092,embed:0.71,auto,,ICT application configurator <> Software developers and programmers
OCC_e1899e09057e,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.704,embed:0.70,auto,,ICT application configurator <> Computer systems developers and programmers
OCC_e1899e09057e,ESCO,OCC_4060d96748a0,NOC,skos:relatedMatch,0.6895,embed:0.69,auto,,ICT application configurator <> Information systems specialists
OCC_e1899e09057e,ESCO,OCC_7892d9c0b620,NOC,skos:relatedMatch,0.686,embed:0.69,auto,,ICT application configurator <> Software engineers and designers
